Customer_ID,Age,Gender,Credit_Score,Tenure_Years,Balance,Products_Count,Has_Credit_Card,Is_Active_Member,Estimated_Salary,Segment,Exited
CUST-1048,21,Male,493,4,143627.0,1,0,1,103696.25,Silver,0
CUST-1049,42,Female,735,3,141492.09,1,1,0,114560.87,Silver,0
CUST-1050,31,Male,665,7,47605.61,1,0,1,30350.33,Standard,0
CUST-1051,67,Male,531,8,54657.25,1,1,1,117998.96,Silver,1
CUST-1052,26,Male,379,3,131299.37,2,1,1,85770.59,Standard,0
CUST-1053,43,Male,433,2,78627.12,2,1,1,64718.45,Gold,0
CUST-1054,19,Male,515,7,39715.05,4,1,1,42472.12,Gold,0
CUST-1055,37,Male,633,4,146604.24,2,1,1,34401.1,Silver,0
CUST-1056,45,Male,630,1,31675.36,2,1,0,30610.71,Silver,1
CUST-1057,64,Female,445,9,171273.09,1,0,0,45224.52,Standard,1
CUST-1058,24,Male,730,8,103419.24,1,1,1,28767.97,Standard,0
CUST-1059,61,Female,615,2,22034.42,1,0,0,116580.28,Gold,1
CUST-1060,25,Female,793,1,139120.39,2,0,1,56076.76,Standard,0
CUST-1061,64,Female,647,0,104313.44,1,0,1,71092.55,Standard,0
CUST-1062,52,Female,645,7,60313.46,2,0,1,127839.53,Gold,0
CUST-1063,31,Male,574,2,85085.34,2,1,1,39332.19,Silver,0
CUST-1064,34,Male,682,6,60369.21,1,1,0,129449.25,Standard,0
CUST-1065,53,Female,710,0,53342.14,1,0,1,104942.54,Standard,0
CUST-1066,67,Female,723,0,33558.08,2,0,0,67753.69,Standard,1
CUST-1067,57,Female,391,8,73190.66,1,0,1,39725.9,Silver,1
CUST-1068,21,Female,652,7,50946.45,2,1,1,36436.59,Standard,0
CUST-1069,19,Female,770,2,137003.46,2,1,0,66939.29,Gold,0
CUST-1070,23,Male,595,5,137091.47,2,1,0,42542.75,Silver,0
CUST-1071,59,Male,557,2,100866.21,2,0,1,58463.79,Standard,0
CUST-1072,21,Female,586,3,155810.96,2,1,1,31619.48,Standard,0
CUST-1073,46,Female,371,0,168426.6,4,1,1,99376.05,Silver,1
CUST-1074,35,Male,534,4,116373.53,1,1,0,43159.51,Gold,1
CUST-1075,43,Female,817,0,124168.1,2,1,1,119591.54,Standard,0
CUST-1076,61,Male,591,0,57294.3,1,1,1,52271.87,Gold,0
CUST-1077,51,Female,712,9,179078.97,1,0,0,124747.07,Standard,1
CUST-1078,27,Male,632,6,5817.0,1,0,1,48735.25,Standard,0
CUST-1079,53,Male,390,5,70371.89,2,1,1,115170.82,Gold,1
CUST-1080,31,Female,685,1,144638.28,1,1,1,66634.33,Standard,0
CUST-1081,48,Male,511,1,16937.81,1,0,0,97890.0,Silver,1
CUST-1082,65,Female,509,6,37450.74,4,1,1,29832.73,Standard,1
CUST-1083,32,Female,823,0,118267.86,2,0,1,86905.55,Gold,0
CUST-1084,25,Female,438,1,112438.74,2,1,0,43585.99,Gold,1
CUST-1085,31,Male,671,7,148046.73,2,1,1,85790.03,Gold,0
CUST-1086,40,Male,361,5,162709.92,4,1,1,42669.89,Standard,1
CUST-1087,57,Male,773,1,26587.34,2,0,1,79636.14,Standard,0
CUST-1088,38,Female,422,6,4657.82,1,1,0,38827.6,Silver,1
CUST-1089,33,Female,425,3,138238.07,3,1,0,52493.94,Standard,1
CUST-1090,62,Female,695,1,60976.97,2,1,1,99384.87,Silver,0
CUST-1091,35,Female,550,5,125570.8,1,1,1,147082.58,Silver,0
CUST-1092,64,Female,359,8,30958.37,2,1,1,81148.1,Standard,1
CUST-1093,41,Female,701,8,94338.97,1,1,1,110896.71,Silver,0
CUST-1094,43,Male,575,7,101380.52,3,1,0,92428.08,Gold,1
CUST-1095,42,Female,525,2,117430.49,1,1,1,87294.74,VIP,0
CUST-1096,62,Male,625,2,103120.83,4,1,1,33088.02,Standard,1
CUST-1097,58,Female,388,1,99642.46,3,1,1,43037.18,Standard,1
CUST-1098,46,Female,409,4,67214.1,2,1,1,135382.22,Standard,0
CUST-1099,32,Female,415,3,15164.87,2,1,0,76270.54,Standard,1
CUST-1100,62,Male,670,6,18814.52,1,1,1,101791.56,Standard,0
CUST-1101,18,Male,784,3,87321.88,1,1,0,91029.15,VIP,0
CUST-1102,42,Male,473,8,71802.83,1,1,1,72360.3,Standard,0
CUST-1103,24,Male,513,1,103710.83,2,1,0,73477.07,Standard,0
CUST-1104,26,Male,757,5,61662.8,2,1,1,94433.13,Standard,0
CUST-1105,41,Female,760,6,137894.11,1,1,0,42642.73,Standard,0
CUST-1106,18,Female,735,3,172927.01,1,1,1,73407.38,Standard,0
CUST-1107,61,Male,508,5,60473.77,3,0,0,80871.95,Silver,1
CUST-1108,25,Male,406,6,39403.82,1,0,1,148140.78,Standard,0
CUST-1109,41,Male,427,3,24119.93,3,1,1,68931.85,Standard,1
CUST-1110,28,Female,543,7,123634.55,1,1,0,105572.36,Standard,0
CUST-1111,68,Male,634,8,89327.34,2,0,0,42176.94,Silver,1
CUST-1112,34,Female,364,0,38415.13,1,0,0,33185.17,Standard,1
CUST-1113,25,Male,361,6,130974.21,2,1,1,133942.75,Standard,0
CUST-1114,52,Female,450,8,30548.15,2,1,1,116341.86,Gold,0
CUST-1115,52,Female,505,9,111305.84,1,1,0,64687.41,Standard,1
CUST-1116,50,Male,689,4,105902.53,2,1,1,88072.25,Silver,0
CUST-1117,22,Female,474,1,147111.33,2,1,1,41968.02,Gold,0
CUST-1118,59,Male,708,9,11966.82,2,1,1,113395.04,Standard,0
CUST-1119,56,Female,629,5,177686.71,2,0,1,33791.32,Gold,0
CUST-1120,58,Male,754,6,140895.35,1,1,1,119629.13,Gold,0
CUST-1121,45,Female,743,1,44009.07,2,1,0,93354.56,Standard,1
CUST-1122,24,Female,459,1,37497.66,4,1,0,59856.32,Gold,1
CUST-1123,26,Female,683,9,86900.38,3,1,1,132821.79,Standard,0
CUST-1124,25,Female,706,9,163695.5,4,1,0,148258.98,Standard,1
CUST-1125,29,Male,495,0,168747.05,1,1,0,56793.64,Gold,1
CUST-1126,51,Male,565,3,104570.76,2,1,0,125780.77,Gold,1
CUST-1127,50,Male,747,6,172301.36,2,1,0,118770.79,Silver,1
CUST-1128,65,Male,511,8,2083.3,1,0,0,118398.77,Standard,1
CUST-1129,40,Female,477,2,7999.75,2,1,1,144654.45,Silver,0
CUST-1130,41,Male,663,6,182452.5,2,1,1,85827.14,Silver,0
CUST-1131,54,Female,681,6,155291.05,1,1,1,109271.01,Standard,0
CUST-1132,52,Female,499,6,90690.51,1,1,0,127984.67,VIP,1
CUST-1133,61,Female,803,1,150968.42,2,1,0,84942.06,Standard,1
CUST-1134,57,Male,385,5,191172.25,1,1,0,85178.9,Standard,1
CUST-1135,39,Female,522,1,154645.82,1,1,0,64831.84,Standard,1
CUST-1136,44,Female,769,5,168631.9,1,1,0,122603.21,Standard,0
CUST-1137,52,Male,371,9,152360.71,1,0,1,110774.47,Silver,1
CUST-1138,18,Female,555,2,34474.01,3,1,0,81392.49,Standard,1
CUST-1139,52,Female,476,1,166881.25,2,1,1,77417.08,Silver,0
CUST-1140,54,Male,685,5,39826.66,2,1,1,34073.71,Standard,0
CUST-1141,64,Male,794,1,178629.65,3,0,1,25812.64,Standard,1
CUST-1142,31,Male,705,4,92271.33,2,1,1,91111.75,Silver,0
CUST-1143,20,Male,789,1,135718.37,1,1,0,77186.61,Standard,0
CUST-1144,18,Male,566,2,99950.93,2,0,1,124504.59,Silver,0
CUST-1145,22,Male,445,2,19704.19,1,1,0,92831.76,Silver,0
CUST-1146,43,Male,766,5,58853.74,1,1,1,142088.26,Silver,0
CUST-1147,31,Male,778,5,196762.64,2,1,1,49517.6,Silver,0
CUST-1148,56,Female,513,9,192182.24,2,0,0,148768.79,Gold,1
CUST-1149,44,Female,497,2,64776.89,2,0,0,62239.9,VIP,1
CUST-1150,26,Female,367,2,199263.06,4,0,1,105303.0,Standard,1
CUST-1151,32,Male,643,0,169264.69,2,0,1,87731.71,Silver,0
CUST-1152,32,Male,544,6,122580.94,2,0,1,69947.05,Standard,0
CUST-1153,43,Male,500,7,8984.8,3,1,0,42413.65,Standard,1
CUST-1154,59,Male,829,1,180387.92,1,0,0,41854.27,Standard,1
CUST-1155,30,Male,714,3,111928.43,1,1,1,113938.23,VIP,0
CUST-1156,68,Female,472,9,173826.75,2,1,1,72205.17,Silver,1
CUST-1157,49,Male,749,6,167051.39,2,1,0,145162.25,Standard,1
CUST-1158,56,Female,536,7,166768.24,1,1,0,65706.06,Standard,1
CUST-1159,66,Female,802,0,139936.6,1,0,0,147940.47,Gold,1
CUST-1160,69,Male,801,3,58991.61,1,1,1,50677.91,Standard,0
CUST-1161,49,Male,498,5,67895.89,2,1,0,37851.8,Standard,1
CUST-1162,21,Female,453,2,62385.37,2,1,0,64071.22,Gold,0
CUST-1163,47,Male,592,4,4989.15,3,0,0,135698.1,Silver,1
CUST-1164,54,Male,811,9,116931.21,2,1,1,90231.49,Standard,0
CUST-1165,40,Female,580,8,140067.9,2,1,0,41956.26,Standard,1
CUST-1166,56,Male,828,2,170919.33,2,1,0,50312.38,Gold,1
CUST-1167,62,Female,555,4,28892.92,1,1,0,63907.58,Gold,1
CUST-1168,32,Female,547,7,109292.45,1,1,1,98770.84,Standard,0
CUST-1169,60,Male,745,5,2593.62,2,1,1,66547.37,Standard,0
CUST-1170,46,Male,749,3,19923.64,1,0,1,118381.76,Standard,0
CUST-1171,53,Male,686,7,11788.14,2,1,1,102036.69,Silver,0
CUST-1172,30,Male,842,2,145370.13,2,1,1,134227.97,Silver,0
CUST-1173,49,Male,436,2,17130.85,1,1,1,87620.23,Standard,0
CUST-1174,24,Female,491,3,143574.14,4,1,1,66397.05,Silver,0
CUST-1175,68,Male,666,8,50675.32,2,1,0,149533.95,Silver,1
CUST-1176,39,Male,548,4,175664.88,1,1,1,69454.17,Silver,0
CUST-1177,45,Female,395,7,162816.85,2,1,1,78575.33,Gold,0
CUST-1178,19,Female,637,5,191608.21,2,0,0,126140.9,Standard,0
CUST-1179,59,Female,364,2,176868.64,1,1,0,36079.53,Standard,1
CUST-1180,62,Male,393,7,186732.55,1,1,0,73311.26,Silver,1
CUST-1181,23,Female,750,8,171889.74,2,1,1,35713.76,Gold,0
CUST-1182,45,Female,518,7,138983.0,3,1,1,42413.23,Standard,1
CUST-1183,45,Male,659,3,34881.57,2,1,1,25580.1,Gold,0
CUST-1184,61,Male,844,5,55069.8,3,1,1,26193.04,Standard,1
CUST-1185,61,Female,393,0,43332.67,2,0,0,72535.99,Standard,1
CUST-1186,37,Male,447,3,121113.57,1,1,0,126145.48,Standard,1
CUST-1187,47,Male,610,7,101220.37,2,1,1,98375.55,VIP,0
CUST-1188,28,Male,458,0,173548.92,1,0,0,104364.26,Silver,1
CUST-1189,45,Male,632,2,190581.9,1,1,1,89906.15,Standard,0
CUST-1190,42,Female,721,0,81567.12,2,0,1,127474.14,VIP,0
CUST-1191,56,Female,692,8,101763.76,2,1,0,135047.34,Silver,1
CUST-1192,50,Female,453,1,194331.76,1,1,1,131217.59,Gold,0
CUST-1193,18,Male,605,8,55971.55,3,1,0,126516.51,Standard,1
CUST-1194,44,Male,728,3,158685.76,2,0,1,47839.13,Standard,0
CUST-1195,69,Male,555,1,45822.74,3,0,0,99234.53,Silver,1
CUST-1196,30,Male,684,3,136610.56,1,1,1,97770.4,Silver,0
CUST-1197,58,Male,392,9,51469.51,3,1,1,90993.0,Silver,1
CUST-1198,20,Female,702,5,176862.94,1,1,0,85101.6,Silver,0
CUST-1199,56,Male,594,6,112734.11,1,1,0,36146.31,Silver,1
CUST-1200,23,Female,636,2,38000.79,2,1,0,37770.4,Standard,0
CUST-1201,25,Male,704,2,45649.47,2,1,0,137785.2,Silver,0
CUST-1202,44,Male,622,9,99275.99,2,1,0,103773.3,Standard,1
CUST-1203,26,Male,825,7,192358.8,2,1,1,57789.65,Standard,0
CUST-1204,54,Female,432,4,154158.79,1,1,1,59912.55,Standard,1
CUST-1205,50,Female,459,3,98173.62,2,0,1,101274.35,Silver,0
CUST-1206,68,Female,787,6,68206.11,1,0,0,75866.87,Gold,1
CUST-1207,59,Male,539,6,110304.43,2,1,0,80165.52,Standard,1
CUST-1208,61,Male,820,8,149923.81,1,0,0,32581.25,Standard,1
CUST-1209,41,Female,637,8,157001.79,4,1,0,42342.4,Standard,1
CUST-1210,32,Male,773,4,65597.15,2,0,0,74168.8,Gold,0
CUST-1211,49,Female,746,7,144510.69,2,1,1,112460.8,Silver,0
CUST-1212,49,Male,600,9,131899.97,3,1,1,31003.17,VIP,1
CUST-1213,41,Male,561,0,191863.35,2,0,0,66819.72,Gold,1
CUST-1214,58,Male,640,8,186286.97,1,1,1,111883.99,Standard,0
CUST-1215,69,Male,482,7,158086.49,1,0,1,124006.35,Standard,1
CUST-1216,66,Female,550,5,144955.54,2,0,1,48777.59,Standard,1
CUST-1217,66,Male,634,2,55534.28,1,0,1,116435.89,Standard,1
CUST-1218,69,Male,675,2,169347.09,2,1,0,144426.46,Standard,1
CUST-1219,29,Male,758,7,86073.64,1,1,1,138351.52,Standard,0
CUST-1220,56,Male,444,4,55175.87,1,1,0,123672.01,Silver,1
CUST-1221,19,Female,627,9,77447.99,2,0,1,114040.84,Silver,0
CUST-1222,20,Female,799,6,167351.16,4,1,0,54392.29,Standard,0
CUST-1223,66,Female,778,4,30578.01,2,1,0,104237.9,Silver,1
CUST-1224,54,Female,674,7,91775.59,3,1,0,105409.25,Standard,1
CUST-1225,66,Male,568,9,98979.16,4,1,0,75852.67,Silver,1
CUST-1226,34,Female,438,9,8289.31,1,1,1,86626.93,Silver,0
CUST-1227,66,Male,421,3,39953.46,1,1,1,111753.56,Standard,1
CUST-1228,19,Male,596,1,165521.74,2,0,1,144012.69,Silver,0
CUST-1229,19,Female,478,2,166322.71,3,1,0,61913.28,Silver,1
CUST-1230,45,Male,561,7,59190.6,2,0,0,55795.39,Standard,1
CUST-1231,40,Female,777,6,175104.55,4,1,1,100225.86,Standard,0
CUST-1232,54,Male,692,1,154584.8,1,1,0,41349.89,VIP,1
CUST-1233,49,Female,445,5,84163.59,1,1,1,97816.6,Standard,0
CUST-1234,50,Female,424,8,149932.86,2,1,1,36106.44,Silver,0
CUST-1235,18,Female,772,3,192305.59,2,1,0,86322.98,Gold,0
CUST-1236,36,Female,844,8,92334.97,1,0,1,102551.8,Standard,0
CUST-1237,19,Female,403,1,48447.01,1,1,1,33763.7,Standard,0
CUST-1238,61,Male,693,1,188421.48,1,1,0,50869.14,Gold,1
CUST-1239,43,Male,808,8,121145.11,2,1,0,66921.79,Standard,0
CUST-1240,49,Male,762,6,21947.77,3,0,1,71074.84,Silver,0
CUST-1241,23,Female,403,6,114963.88,3,1,0,109513.08,Silver,1
CUST-1242,49,Male,567,0,100615.6,2,1,1,91127.67,Silver,0
CUST-1243,21,Female,365,5,171262.19,2,1,1,72763.56,VIP,0
CUST-1244,28,Male,448,6,106608.34,2,0,0,81334.53,Gold,1
CUST-1245,34,Male,369,5,51791.25,1,1,1,26622.08,Silver,0
CUST-1246,55,Female,395,5,135453.17,1,1,1,121315.66,Gold,1
CUST-1247,41,Male,800,1,108972.52,1,1,1,30125.59,Gold,0
CUST-1248,22,Male,542,5,47375.88,2,0,0,128664.69,VIP,0
CUST-1249,69,Male,732,3,115151.94,3,1,1,92624.57,Silver,1
CUST-1250,51,Female,407,8,164485.58,2,0,1,90977.4,Standard,1
CUST-1251,23,Female,786,0,6685.61,2,1,1,113072.33,Silver,0
CUST-1252,39,Male,460,7,126539.36,1,1,1,132444.94,Standard,0
CUST-1253,28,Male,478,4,70567.45,2,1,0,142830.77,Standard,1
CUST-1254,65,Male,686,0,59241.62,2,0,1,92921.24,Standard,0
CUST-1255,33,Female,543,3,79124.96,2,1,0,43832.28,Gold,1
CUST-1256,50,Female,762,0,69062.51,1,0,0,134828.87,Standard,1
CUST-1257,26,Male,689,5,166615.58,3,1,0,30084.0,Silver,1
CUST-1258,23,Male,675,1,55684.76,2,0,1,125917.15,Silver,0
CUST-1259,33,Male,357,4,146897.45,3,1,1,110052.7,Standard,1
CUST-1260,46,Female,378,6,19717.9,2,1,1,138090.95,Silver,0
CUST-1261,20,Female,461,1,190327.88,4,1,1,137182.89,Silver,0
CUST-1262,37,Male,784,5,124841.01,1,1,1,31644.26,Gold,0
CUST-1263,53,Male,510,5,141637.0,1,1,0,101180.8,Standard,1
CUST-1264,36,Male,480,4,60309.83,1,1,1,40583.93,Standard,0
CUST-1265,43,Female,537,4,83007.22,1,1,1,34808.58,Silver,0
CUST-1266,20,Male,512,2,45531.9,2,1,1,81034.64,Standard,0
CUST-1267,36,Female,546,9,186574.68,2,1,1,37199.69,Standard,0
CUST-1268,37,Female,824,9,98132.78,2,1,0,115987.8,Standard,0
CUST-1269,49,Male,713,1,126459.18,1,1,1,146117.59,Silver,0
CUST-1270,24,Male,553,6,147120.13,3,1,0,96197.87,Standard,1
CUST-1271,69,Male,561,0,74850.11,1,1,0,54396.11,Silver,1
CUST-1272,58,Female,458,5,144300.23,1,1,0,130400.8,VIP,1
CUST-1273,50,Female,625,5,135522.51,2,0,1,131637.92,Silver,0
CUST-1274,57,Female,422,2,141426.21,2,0,0,116598.25,Standard,1
CUST-1275,56,Female,516,1,98356.75,1,1,1,101891.52,Standard,0
CUST-1276,35,Male,609,1,77204.54,1,1,0,133474.06,Standard,1
CUST-1277,57,Female,592,8,45194.36,2,1,1,45411.46,Standard,0
CUST-1278,18,Female,624,4,165100.64,1,1,1,141450.02,Standard,0
CUST-1279,28,Male,451,6,122061.66,1,1,0,143400.39,Standard,1
CUST-1280,45,Female,824,4,89426.09,2,1,0,133999.05,Silver,0
CUST-1281,42,Female,522,6,188855.19,1,1,1,56332.75,Gold,0
CUST-1282,67,Female,520,3,10519.92,1,1,1,132272.3,Gold,1
CUST-1283,40,Female,490,7,170184.22,2,1,0,87204.78,Standard,1
CUST-1284,48,Female,746,9,199518.94,4,1,1,99366.28,Silver,0
CUST-1285,47,Female,537,9,177501.48,4,1,1,130075.08,Standard,1
CUST-1286,59,Male,790,6,162276.88,1,1,0,28697.86,Silver,1
CUST-1287,52,Male,435,9,75486.89,1,1,0,70367.82,Standard,1
CUST-1288,24,Female,825,4,47031.52,1,0,0,126961.67,Gold,0
CUST-1289,33,Male,401,5,147235.25,1,0,0,126744.35,Gold,1
CUST-1290,43,Male,460,4,61610.5,2,1,1,131085.99,Standard,0
CUST-1291,65,Male,786,6,36031.9,2,1,0,46151.99,Silver,1
CUST-1292,69,Male,714,1,157518.65,2,1,1,113235.83,Silver,0
CUST-1293,66,Female,691,4,63196.19,1,1,1,43312.92,Standard,0
CUST-1294,19,Female,392,9,182973.9,1,1,0,123137.25,Silver,0
CUST-1295,18,Male,560,2,168285.9,2,1,1,55640.75,Silver,0
CUST-1296,65,Male,805,8,169680.43,1,1,1,117227.22,Gold,0
CUST-1297,29,Male,849,5,154542.38,2,1,1,81875.2,Silver,0
CUST-1298,22,Female,549,9,176295.4,2,0,1,148282.93,Silver,0
CUST-1299,54,Female,647,2,161343.63,2,0,0,97486.73,Gold,1
CUST-1300,49,Male,695,6,120899.76,2,1,1,104072.42,VIP,0
CUST-1301,26,Female,589,3,59868.72,2,1,1,71020.44,Standard,0
CUST-1302,58,Female,464,2,177753.63,1,1,1,116815.02,Standard,1
CUST-1303,52,Female,375,7,168280.12,1,0,1,86860.71,Silver,1
CUST-1304,36,Female,756,3,95102.99,2,0,1,27258.33,VIP,0
CUST-1305,65,Male,648,0,8776.66,1,0,0,101072.7,Standard,1
CUST-1306,33,Female,426,5,128070.2,2,1,1,128807.45,Standard,0
CUST-1307,20,Male,761,9,11068.77,2,0,0,54600.22,Standard,0
CUST-1308,37,Female,486,0,185329.71,3,1,1,52632.97,Silver,1
CUST-1309,41,Female,369,4,192364.62,4,0,1,101110.77,Gold,1
CUST-1310,50,Female,789,6,38708.54,1,0,1,127247.41,Standard,0
CUST-1311,41,Female,560,5,135601.49,4,1,1,56202.54,Standard,1
CUST-1312,69,Male,589,1,19361.53,2,1,1,141532.83,Gold,1
CUST-1313,28,Female,388,3,146173.87,2,0,1,140923.42,Standard,0
CUST-1314,66,Female,784,1,70110.25,1,1,1,50067.08,Gold,0
CUST-1315,25,Female,617,0,136528.97,3,1,1,57973.05,Standard,0
CUST-1316,53,Male,556,2,75202.43,1,1,0,112574.85,Silver,1
CUST-1317,55,Male,828,2,29967.93,2,1,0,143966.64,Silver,1
CUST-1318,57,Male,788,6,81815.89,1,1,1,113735.34,Silver,0
CUST-1319,37,Female,811,0,23422.03,2,1,0,80612.51,Gold,0
CUST-1320,52,Female,616,8,115799.77,1,1,0,46125.17,VIP,1
CUST-1321,65,Male,503,5,9149.35,1,1,1,82626.23,Gold,1
CUST-1322,42,Male,391,3,105936.62,1,1,0,100845.97,Standard,1
CUST-1323,52,Female,760,2,177387.36,1,1,0,66368.99,Standard,1
CUST-1324,42,Female,360,2,167736.78,1,1,1,88782.23,Standard,0
CUST-1325,46,Female,643,1,176673.56,2,1,0,41276.77,Gold,1
CUST-1326,35,Female,447,1,184487.71,2,1,0,81523.51,Silver,1
CUST-1327,63,Male,776,9,21801.05,2,0,1,36346.98,VIP,0
CUST-1328,35,Male,624,4,26620.69,2,1,1,31136.09,VIP,0
CUST-1329,19,Female,797,8,111844.35,1,0,0,132154.99,Silver,0
CUST-1330,52,Female,739,1,178900.56,1,1,0,50635.2,Gold,1
CUST-1331,33,Female,779,1,194895.54,1,0,1,96894.42,VIP,0
CUST-1332,58,Female,721,5,10206.12,3,1,1,43622.84,Gold,1
CUST-1333,53,Female,579,9,71799.04,3,1,0,57815.95,Silver,1
CUST-1334,50,Male,718,1,43365.96,1,1,1,70167.43,Gold,0
CUST-1335,21,Male,775,3,151437.2,1,1,0,42959.55,Standard,0
CUST-1336,50,Male,569,5,128398.58,3,1,1,30745.29,Silver,1
CUST-1337,31,Male,414,4,24857.72,3,1,1,134644.98,Standard,1
CUST-1338,38,Female,704,0,97220.89,3,1,1,26479.1,Standard,0
CUST-1339,65,Female,581,5,137402.66,2,0,1,32665.12,Gold,1
CUST-1340,37,Male,677,0,156022.07,2,1,1,125634.02,Silver,0
CUST-1341,25,Male,792,2,4990.49,1,1,0,60251.04,Standard,0
CUST-1342,24,Female,401,9,178203.45,2,1,0,115352.54,Standard,1
CUST-1343,20,Male,723,4,114287.0,2,1,1,43278.22,VIP,0
CUST-1344,34,Female,780,9,162569.91,2,0,0,54660.22,Gold,0
CUST-1345,50,Female,725,4,161779.67,2,0,1,96597.06,Standard,0
CUST-1346,65,Female,612,9,38780.68,1,0,1,148579.48,VIP,1
CUST-1347,29,Male,616,5,22924.25,1,0,1,34180.56,Standard,0
CUST-1348,68,Male,708,9,144536.17,1,1,1,75069.32,Silver,0
CUST-1349,39,Female,666,7,32128.96,1,1,0,30385.12,Silver,1
CUST-1350,39,Female,673,4,170137.56,2,1,0,49903.31,Gold,1
CUST-1351,63,Male,758,0,145511.71,2,0,1,138433.88,Gold,0
CUST-1352,47,Female,745,4,168523.25,2,0,0,37057.51,Standard,1
CUST-1353,55,Male,503,2,60503.52,1,1,1,132106.99,Silver,0
CUST-1354,55,Female,707,3,64003.01,2,1,1,47225.4,Standard,0
CUST-1355,62,Male,715,7,134573.09,1,0,1,132723.11,Silver,0
CUST-1356,68,Female,489,6,7257.75,2,1,0,92252.75,Silver,1
CUST-1357,25,Male,776,4,145572.85,1,0,1,134775.83,Standard,0
CUST-1358,44,Male,400,1,167320.83,1,1,0,43962.96,Standard,1
CUST-1359,44,Male,466,5,83617.55,3,1,1,120254.57,Standard,1
CUST-1360,51,Male,770,5,153210.89,2,1,1,110087.32,Silver,0
CUST-1361,38,Female,395,9,35747.57,1,1,0,92866.67,Silver,1
CUST-1362,47,Female,658,9,65129.82,1,1,1,126323.42,Standard,0
CUST-1363,50,Male,437,5,194886.69,2,1,0,106034.5,VIP,1
